JESSUP - Very Loving Boy,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Gentle, Loyal, Playful, Smart, Curious, Loves kisses, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$99.97,,Short,355,Edison Municipal Animal Shelter,14,No
PIPER - Shy and Sweet!,0,0,Adult,Domestic Short Hair,Black,Medium,Female,"Friendly, Gentle, Independent, Quiet, Dignified, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,235,Edison Municipal Animal Shelter,14,No
PARSNIP - Quiet Boy!,0,0,Adult,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Large,Male,"Gentle, Independent, Quiet, Dignified, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,"Dogs, children.",Short,204,Edison Municipal Animal Shelter,14,No
UNO - Shy Wallflower,0,0,Kitten,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Small,Male,"Friendly, Smart, Brave, Curious, Gentle, Independent, Athletic, Quiet",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$100.00,,Short,351,Edison Municipal Animal Shelter,14,No
FUJI & SAN ANDREAS - Cuties,0,0,Kitten,Tabby & Domestic Short Hair Mix,Black & White / Tuxedo,Small,Male,"Friendly, Gentle, Playful, Smart, Brave, Curious, Independent, Loyal, Funny, Athletic",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,355,Edison Municipal Animal Shelter,14,No
CLOVE - Scared but Sweet!,3,0,Kitten,Domestic Short Hair & Tabby Mix,Tabby (Orange / Red),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Curious, Independent, Funny, Athletic",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$100.00,,Short,352,Edison Municipal Animal Shelter,14,No
Andy,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",,Yes,Vaccinations up to date.,,,,Short,80,Kat Connection,14,No
Ashley,0,0,Kitten,Russian Blue Mix,Gray / Blue / Silver,Medium,Female,"Friendly, Affectionate, Loyal, Playful, Gentle",,Yes,Vaccinations up to date.,,,,Short,75,Kat Connection,14,No
Dillon,0,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",,Yes,Vaccinations up to date.,,,,Short,78,Kat Connection,14,No
Jasper,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",,Yes,Vaccinations up to date.,,,,Short,76,Kat Connection,14,No
Noah,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",,Yes,Vaccinations up to date.,,,,Short,76,Kat Connection,14,No
Jeronomo,4,0,Young,Domestic Short Hair,Tabby (Orange / Red),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Curious, Funny, Athletic, Dignified, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,121,Posh Pets Rescue,14,No
Tiberius,6,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Curious, Independent, Funny, Athletic, Quiet, Dignified, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,30,Plainfield Area Humane Society,14,No
Angelique,2,0,Kitten,Domestic Short Hair,Tortoiseshell,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,19,Plainfield Area Humane Society,14,No
Madeline (maya),3,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,30,Plainfield Area Humane Society,14,No
Oakley,6,0,Young,Domestic Short Hair,White,Medium,Female,"Affectionate, Friendly, Loyal, Gentle, Playful, Smart, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,20,Plainfield Area Humane Society,14,No
