,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set
17,Sherbert & Gelato,0,0,Young,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Medium,Male,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",,,,71.0,The Animal Project,one_day
18,Pixie & Sprite,3,0,Young,Domestic Long Hair & Tabby Mix,,Medium,Female,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",,,,103.0,The Animal Project,one_day
19,Zara & Frasier,3,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Female,"Friendly, Affectionate, Playful, Gentle, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,53.0,For Our Friends Inc.,one_day
20,Shannon & Nina,4,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Female,"Friendly, Affectionate, Playful, Gentle, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All.",,,Short,53.0,For Our Friends Inc.,one_day
21,Darcy,3,1,Adult,Domestic Short Hair,,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,,Friends of the Clifton Animal Shelter,one_day
22,Diesel,2,1,Adult,Siamese,,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,,Friends of the Clifton Animal Shelter,one_day
23,Dillon,5,1,Adult,Domestic Short Hair,,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,,Friends of the Clifton Animal Shelter,one_day
24,Dever,2,1,Adult,Domestic Short Hair,,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,,Friends of the Clifton Animal Shelter,one_day
25,Delilah,3,1,Adult,Domestic Short Hair,,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,,Friends of the Clifton Animal Shelter,one_day
26,Tigger & Cutie Pie - Brothers,4,1,Adult,Domestic Short Hair,,Large,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,,Friends of the Clifton Animal Shelter,one_day
